"Resource","Qnty","License","Subtotal/yr","Notes","Billing [last/recent]","Payment"
"Vyond [AI-enhanced video authoring]","1","Pro Plan","1,295","billed annually.","paid $1294.92 on 2025-10-25 for 1 yr.","Oglesby VISA P-Card. 06/2028"
"CapCut [AI-enhanced video gen and editing]","1","Pro","240","billed monthly: $20","7-day free trial; then $11.99  1 month","Oglesby VISA P-Card. 06/2028"
"Kling [AI-enhanced cinematic video gen]","1","Pro","390","billed monthly: $32.56","paid $25.99 on 24 Mar 2026","Oglesby VISA P-Card. 06/2028"
"Vyond","1","Pro Plan","2,579","billed monthly: $214.92","paid $214.92 on 2026-03-04","Oglesby VISA P-Card. 06/2028"
"ElevenLabs [AI-enhanced voice/audio synthesizing]","1","Creator Plan","280","billed monthly @ $23.32/month [approx. 2 hours audio gen]","paid $23.32 on 2026-02-24 for 1 month","Oglesby VISA P-Card. 06/2028"
"MidJourney [AI-enhanced image generator]","1","Basic Plan","101.76","billed annually.","paid $101.26 on 2025-10-24 for 1 yr.","Oglesby VISA P-Card. 06/2028"
"Articulate 360 [additional team seat]","1","Team Plan [1 seat upgrade]","1617.84","billed annually.","paid $1617.84 on 2025-12-13","Oglesby VISA P-Card. 06/202"
"Originality [AI use detection]","","Pro Plan","","billed annually; needed to corroborate findings from another (unreliable) AI detector TJU provides","paid for one month. subscription cancelled on 2024-10-24",""
"WinstonAI [AI use detection]","multiple seats","Advanced","228","billed annually.","paid $228 on 2025-10-24 for 1 yr.","Oglesby VISA P-Card. 06/2028"
"botpress [AI-enhanced chatbot]","1","Pay-as-you-go","300","billed monthly. + $5/month for ‘always alive’; $20 for messaging and tables.","paid $25 on 2026-02-28.","Oglesby VISA P-Card. 06/2028"
"Descript [AI-enhanced video editing]","2 seats ($35)","Creator (Legacy)","840","billed monthly. $70.00 ($35/month per seat.)","will pay $70 on 2026-04-11","Oglesby VISA P-Card. 06/2028"
"Gamma [AI-gen slides]","1 seat","Pro","240","billed monthly","$20/month. paid $20 on Feb. 27, 2026","Oglesby VISA P-Card. 06/2028"
"Canva [AI-gen pages]","Team (s) [3 seats]","Teams/Pro","360","billed monthly. $30/month","paid $30 on 2026-03-06","Oglesby VISA P-Card. 06/2028"
"JellyPod [AI-gen podcast]","1","Starter","0","monthly","$29/month [started Feb. 2025] cancelled subscription.  account active thru 03/27/2026.","Oglesby VISA P-Card. 06/2028"
"HeyGen [AI-gen avatars]","1","Creator","0","monthly","$29/month [started Feb. 2025] cancelled subscription 2025-05-28","Oglesby AMEX exp. 01/2029."
"Wondercraft [audio podcasting]","1","Creator","$ 540","yearly (100 credits/minutes per month)","Paid $300 on 2025-05-28.","Oglesby VISA P-Card. 06/2028"
"Total:","","","8472","","Total:, , , sum,","Total:, , , sum,"
